"","id","sex","edad","origen","timerun","categoria","nacionalidad"
"522",522,"Hombre",37,"CALI",3424,"2. Abierta","COL"
"523",523,"Mujer",26,"CALI",3426,"2. Abierta","COL"
"524",524,"Hombre",38,"POPAYAN",3428,"2. Abierta","COL"
"525",525,"Hombre",26,"CALI",3428,"2. Abierta","COL"
"526",526,"Mujer",22,"CALI",3429,"2. Abierta","COL"
"527",527,"Hombre",44,"CALI",3429,"3. Veteranos A","COL"
"528",528,"Hombre",37,"BOGOTA D.C",3429,"2. Abierta","COL"
"529",529,"Hombre",58,"PALMIRA",3430,"4. Veteranos B","COL"
"530",530,"Hombre",20,"CALI",3430,"2. Abierta","COL"
"531",531,"Hombre",57,"CALI",3431,"4. Veteranos B","COL"
"532",532,"Hombre",42,"CALI",3432,"3. Veteranos A","COL"
"533",533,"Hombre",48,"POPAYAN",3432,"3. Veteranos A","COL"
"534",534,"Hombre",26,"CALI",3432,"2. Abierta","COL"
"535",535,"Mujer",31,"CALI",3433,"2. Abierta","COL"
"536",536,"Hombre",28,"CALI",3435,"2. Abierta","COL"
"537",537,"Hombre",42,"CALI",3436,"3. Veteranos A","COL"
"538",538,"Hombre",41,"CALI",3436,"3. Veteranos A","COL"
"539",539,"Hombre",48,"CALI",3437,"3. Veteranos A","COL"
"540",540,"Mujer",33,"CALI",3437,"2. Abierta","COL"
"541",541,"Hombre",25,"CALI",3438,"2. Abierta","COL"
"542",542,"Hombre",24,"CALI",3440,"2. Abierta","COL"
"543",543,"Mujer",41,"CALI",3440,"3. Veteranos A","COL"
"544",544,"Mujer",35,"CALI",3440,"2. Abierta","COL"
"545",545,"Hombre",37,"CALI",3441,"2. Abierta","COL"
"546",546,"Hombre",33,"CALI",3441,"2. Abierta","COL"
"547",547,"Mujer",30,"CALI",3445,"2. Abierta","COL"
"548",548,"Hombre",33,"CALI",3445,"2. Abierta","COL"
"549",549,"Hombre",31,"SANTANDER DE QUILICHAO",3445,"2. Abierta","COL"
"550",550,"Hombre",55,"CALI",3445,"4. Veteranos B","COL"
"551",551,"Hombre",30,"CALI",3446,"2. Abierta","COL"
"552",552,"Hombre",31,"CALI",3446,"2. Abierta","COL"
"553",553,"Mujer",39,"CALI",3446,"2. Abierta","COL"
"554",554,"Hombre",56,"CALI",3447,"4. Veteranos B","COL"
"555",555,"Hombre",47,"CALI",3449,"3. Veteranos A","COL"
"556",556,"Hombre",42,"CALI",3449,"3. Veteranos A","COL"
"557",557,"Mujer",39,"CALI",3450,"2. Abierta","COL"
"558",558,"Hombre",34,"CALI",3450,"2. Abierta","COL"
"559",559,"Hombre",43,"CALI",3452,"3. Veteranos A","COL"
"560",560,"Hombre",35,"YUMBO",3453,"2. Abierta","COL"
"561",561,"Hombre",57,"CALI",3454,"4. Veteranos B","COL"
"562",562,"Hombre",52,"CALI",3454,"4. Veteranos B","COL"
"563",563,"Hombre",34,"CALI",3458,"2. Abierta","COL"
"564",564,"Hombre",39,"CALI",3459,"2. Abierta","COL"
"565",565,"Mujer",39,"PASTO",3460,"2. Abierta","COL"
"566",566,"Hombre",40,"JAMUNDI",3460,"3. Veteranos A","COL"
"567",567,"Mujer",29,"CALI",3460,"2. Abierta","COL"
"568",568,"Hombre",47,"CALI",3461,"3. Veteranos A","COL"
"569",569,"Hombre",43,"BOGOTA",3462,"3. Veteranos A","COL"
"570",570,"Hombre",34,"CALI",3464,"2. Abierta","COL"
"571",571,"Mujer",46,"CALI",3468,"3. Veteranos A","COL"
"572",572,"Hombre",36,"CALI",3473,"2. Abierta","COL"
"573",573,"Mujer",35,"BOGOTA",3474,"2. Abierta","COL"
"574",574,"Hombre",45,"BOGOTA",3474,"3. Veteranos A","COL"
"575",575,"Mujer",36,"CALI",3475,"2. Abierta","COL"
"576",576,"Hombre",33,"CALI",3475,"2. Abierta","COL"
"577",577,"Hombre",35,"CALI",3475,"2. Abierta","COL"
